# ANNOTATION_RELATION rows for the VALIDATED INHERITED cell type -> structure claims.
# NOT asserted by CL on the class: entailed from an is_a ancestor (VIA), then confirmed
# accurate AND restricted by claude-sonnet-5. A WEAKER claim than the asserted rows on
# prod -- give it its own SOURCE, do not merge it into 'CL'.
# Rows whose target is a whole-body anatomical system are excluded as tautologies.
# PREDICATE is the one the ANCESTOR actually asserts, looked up per row; NOT always 'part of'.
# script: scripts/validate_celltype_tissue_map.py  model: claude-sonnet-5
SUBJECT_VALUE	SUBJECT_VALUE_URI	PREDICATE	PREDICATE_URI	OBJECT_VALUE	OBJECT_VALUE_URI	VIA	N_DATASETS
immature single positive thymocyte	http://purl.obolibrary.org/obo/CL_0000805	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	4
lateral motor column neuron	http://purl.obolibrary.org/obo/CL_0011002	has soma location	http://purl.obolibrary.org/obo/RO_0002100	spinal cord	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord motor neuron	4
hippocampal astrocyte	http://purl.obolibrary.org/obo/CL_0002604	part of	http://purl.obolibrary.org/obo/BFO_0000050	hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0002421	hippocampal glial cell	3
rod bipolar cell	http://purl.obolibrary.org/obo/CL_0000751	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	3
substantia nigra dopaminergic neuron	http://purl.obolibrary.org/obo/CL_4042025	has soma location	http://purl.obolibrary.org/obo/RO_0002100	substantia nigra	http://purl.obolibrary.org/obo/UBERON_0002038	neuron of the substantia nigra	3
CD69-positive double-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002429	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	2
DN2a thymocyte	http://purl.obolibrary.org/obo/CL_0002423	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	2
DN2b thymocyte	http://purl.obolibrary.org/obo/CL_0002424	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	2
activated skeletal muscle satellite cell	http://purl.obolibrary.org/obo/CL_0008016	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	2
adult skeletal muscle myoblast	http://purl.obolibrary.org/obo/CL_0008017	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	2
basal epithelial cell of tracheobronchial tree	http://purl.obolibrary.org/obo/CL_0002329	part of	http://purl.obolibrary.org/obo/BFO_0000050	tracheobronchial epithelium	http://purl.obolibrary.org/obo/UBERON_0008397	epithelial cell of tracheobronchial tree	2
club cell	http://purl.obolibrary.org/obo/CL_0000158	part of	http://purl.obolibrary.org/obo/BFO_0000050	tracheobronchial epithelium	http://purl.obolibrary.org/obo/UBERON_0008397	epithelial cell of tracheobronchial tree	2
non-myelinating Schwann cell	http://purl.obolibrary.org/obo/CL_0002376	part of	http://purl.obolibrary.org/obo/BFO_0000050	peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	Schwann cell	2
striosomal D1 medium spiny neuron	http://purl.obolibrary.org/obo/CL_4030048	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	2
striosomal D2 medium spiny neuron	http://purl.obolibrary.org/obo/CL_4030049	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	2
BEST4+ colonocyte	http://purl.obolibrary.org/obo/CL_4047052	part of	http://purl.obolibrary.org/obo/BFO_0000050	colonic epithelium	http://purl.obolibrary.org/obo/UBERON_0000397	colon epithelial cell	1
CD69-positive, CD4-positive single-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002433	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	1
CD69-positive, CD8-positive single-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002435	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	1
CNS long range interneuron	http://purl.obolibrary.org/obo/CL_0000410	has soma location	http://purl.obolibrary.org/obo/RO_0002100	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system neuron	1
STR D1 Gaba direct pathway medium spiny neuron (Mmus)	http://purl.obolibrary.org/obo/CL_4300101	has soma location	http://purl.obolibrary.org/obo/RO_0002100	corpus striatum	http://purl.obolibrary.org/obo/UBERON_0000369	medium spiny neuron	1
STR D2 Gaba indirect pathway medium spiny neuron (Mmus)	http://purl.obolibrary.org/obo/CL_4300102	has soma location	http://purl.obolibrary.org/obo/RO_0002100	corpus striatum	http://purl.obolibrary.org/obo/UBERON_0000369	medium spiny neuron	1
anterior horn motor neuron	http://purl.obolibrary.org/obo/CL_2000048	has soma location	http://purl.obolibrary.org/obo/RO_0002100	ventral horn of spinal cord	http://purl.obolibrary.org/obo/UBERON_0002257	neuron of the ventral spinal cord	1
cerebellar stellate cell	http://purl.obolibrary.org/obo/CL_0010010	has soma location	http://purl.obolibrary.org/obo/RO_0002100	molecular layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002974	molecular layer interneuron	1
cerebral cortex GABAergic interneuron	http://purl.obolibrary.org/obo/CL_0010011	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	1
colon goblet cell	http://purl.obolibrary.org/obo/CL_0009039	part of	http://purl.obolibrary.org/obo/BFO_0000050	colonic epithelium	http://purl.obolibrary.org/obo/UBERON_0000397	colon epithelial cell	1
colonocyte	http://purl.obolibrary.org/obo/CL_1000347	part of	http://purl.obolibrary.org/obo/BFO_0000050	colonic epithelium	http://purl.obolibrary.org/obo/UBERON_0000397	colon epithelial cell	1
indirect pathway medium spiny neuron	http://purl.obolibrary.org/obo/CL_4023029	has soma location	http://purl.obolibrary.org/obo/RO_0002100	corpus striatum	http://purl.obolibrary.org/obo/UBERON_0000369	medium spiny neuron	1
intestinal tuft cell	http://purl.obolibrary.org/obo/CL_0019032	part of	http://purl.obolibrary.org/obo/BFO_0000050	intestinal epithelium	http://purl.obolibrary.org/obo/UBERON_0001277	intestinal epithelial cell	1
newly formed oligodendrocyte	http://purl.obolibrary.org/obo/CL_4072001	part of	http://purl.obolibrary.org/obo/BFO_0000050	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	oligodendrocyte	1
pulmonary alveolar type 1 cell	http://purl.obolibrary.org/obo/CL_0002062	part of	http://purl.obolibrary.org/obo/BFO_0000050	pulmonary alveolus epithelium	http://purl.obolibrary.org/obo/UBERON_0004821	pulmonary alveolar epithelial cell	1
quiescent skeletal muscle satellite cell	http://purl.obolibrary.org/obo/CL_0008012	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	1
skeletal muscle satellite myogenic cell	http://purl.obolibrary.org/obo/CL_0008020	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	1
sst GABAergic interneuron	http://purl.obolibrary.org/obo/CL_4023017	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	1
tuft cell of colon	http://purl.obolibrary.org/obo/CL_0009041	part of	http://purl.obolibrary.org/obo/BFO_0000050	colonic epithelium	http://purl.obolibrary.org/obo/UBERON_0000397	colon epithelial cell	1
undifferentiated cell of bronchus epithelium	http://purl.obolibrary.org/obo/CL_0002330	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of bronchus	http://purl.obolibrary.org/obo/UBERON_0002031	bronchial epithelial cell	1
360 nm-cone	http://purl.obolibrary.org/obo/CL_0004162	part of	http://purl.obolibrary.org/obo/BFO_0000050	retina	http://purl.obolibrary.org/obo/UBERON_0000966	camera-type eye photoreceptor cell	0
510 nm-cone	http://purl.obolibrary.org/obo/CL_0004161	part of	http://purl.obolibrary.org/obo/BFO_0000050	retina	http://purl.obolibrary.org/obo/UBERON_0000966	camera-type eye photoreceptor cell	0
A9 dopaminergic neuron	http://purl.obolibrary.org/obo/CL_4072006	has soma location	http://purl.obolibrary.org/obo/RO_0002100	substantia nigra	http://purl.obolibrary.org/obo/UBERON_0002038	neuron of the substantia nigra	0
BEST4+ enterocyte	http://purl.obolibrary.org/obo/CL_4030026	part of	http://purl.obolibrary.org/obo/BFO_0000050	intestinal epithelium	http://purl.obolibrary.org/obo/UBERON_0001277	gut absorptive cell	0
BF SKOR1 Glut glutamatergic neuron of the basal ganglia (Primate)	http://purl.obolibrary.org/obo/CL_4310088	has soma location	http://purl.obolibrary.org/obo/RO_0002100	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	glutamatergic neuron of the basal ganglia	0
Bergmann glial cell (Mmus)	http://purl.obolibrary.org/obo/CL_4307026	part of	http://purl.obolibrary.org/obo/BFO_0000050	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Bergmann glial cell	0
Betz upper motor neuron	http://purl.obolibrary.org/obo/CL_4023052	has soma location	http://purl.obolibrary.org/obo/RO_0002100	primary motor cortex layer 5	http://purl.obolibrary.org/obo/UBERON_0022315	Betz cell	0
Bm2' B cell	http://purl.obolibrary.org/obo/CL_0000964	part of	http://purl.obolibrary.org/obo/BFO_0000050	germinal center	http://purl.obolibrary.org/obo/UBERON_0010754	germinal center B cell	0
Bm3 B cell	http://purl.obolibrary.org/obo/CL_0000965	part of	http://purl.obolibrary.org/obo/BFO_0000050	germinal center	http://purl.obolibrary.org/obo/UBERON_0010754	germinal center B cell	0
Bm3-delta B cell	http://purl.obolibrary.org/obo/CL_0000963	part of	http://purl.obolibrary.org/obo/BFO_0000050	germinal center	http://purl.obolibrary.org/obo/UBERON_0010754	germinal center B cell	0
Bm4 B cell	http://purl.obolibrary.org/obo/CL_0000966	part of	http://purl.obolibrary.org/obo/BFO_0000050	germinal center	http://purl.obolibrary.org/obo/UBERON_0010754	germinal center B cell	0
CAP motoneuron	http://purl.obolibrary.org/obo/CL_0000532	has soma location	http://purl.obolibrary.org/obo/RO_0002100	spinal cord	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord motor neuron	0
CB Granule Glut_1 cerebellar granule cell (Mmus)	http://purl.obolibrary.org/obo/CL_4301584	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellar neuron	0
CB Granule Glut_2 cerebellar granule cell (Mmus)	http://purl.obolibrary.org/obo/CL_4301585	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellar neuron	0
CB PLI GABA Ly6d Purkinje layer interneuron	http://purl.obolibrary.org/obo/CL_4307005	has soma location	http://purl.obolibrary.org/obo/RO_0002100	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje layer interneuron	0
CB PLI Gly-Gaba_1 Purkinje layer interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4301574	has soma location	http://purl.obolibrary.org/obo/RO_0002100	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje layer interneuron	0
CB PLI Gly-Gaba_3 Purkinje layer interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4301576	has soma location	http://purl.obolibrary.org/obo/RO_0002100	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje layer interneuron	0
CBX MLI Cdh22 Gaba molecular layer interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4307012	has soma location	http://purl.obolibrary.org/obo/RO_0002100	molecular layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002974	molecular layer interneuron	0
CBX MLI Megf11 Gaba molecular layer interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4300351	has soma location	http://purl.obolibrary.org/obo/RO_0002100	molecular layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002974	molecular layer interneuron	0
CBX MLI Megf11 Gaba_1 molecular layer interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4301579	has soma location	http://purl.obolibrary.org/obo/RO_0002100	molecular layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002974	molecular layer interneuron	0
CBX MLI Megf11 Gaba_2 molecular layer interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4301580	has soma location	http://purl.obolibrary.org/obo/RO_0002100	molecular layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002974	molecular layer interneuron	0
CBX Purkinje Gaba_1 Purkinje cell (Mmus)	http://purl.obolibrary.org/obo/CL_4301582	has soma location	http://purl.obolibrary.org/obo/RO_0002100	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje cell	0
CBX Purkinje Gaba_2 Purkinje cell (Mmus)	http://purl.obolibrary.org/obo/CL_4301583	has soma location	http://purl.obolibrary.org/obo/RO_0002100	Purkinje cell layer of cerebellar cortex	http://purl.obolibrary.org/obo/UBERON_0002979	Purkinje cell	0
CD24-positive, CD4 single-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002432	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
CD24-positive, CD8 single-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002434	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
CD25-positive, CD27-positive immature gamma-delta T cell	http://purl.obolibrary.org/obo/CL_0002126	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
CD4-intermediate, CD8-positive double-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002430	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
CD8-alpha-negative thymic conventional dendritic cell	http://purl.obolibrary.org/obo/CL_0002460	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymic conventional dendritic cell	0
CNS short range interneuron	http://purl.obolibrary.org/obo/CL_0000406	has soma location	http://purl.obolibrary.org/obo/RO_0002100	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system neuron	0
DCO Il22 Gly-Gaba cerebellar neuron (Mmus)	http://purl.obolibrary.org/obo/CL_4300348	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellar neuron	0
DCO Il22 Gly-Gaba_1 cerebellar neuron (Mmus)	http://purl.obolibrary.org/obo/CL_4301571	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellar neuron	0
DCO Il22 Gly-Gaba_3 cerebellar neuron (Mmus)	http://purl.obolibrary.org/obo/CL_4301573	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellar neuron	0
Dogiel type II neuron	http://purl.obolibrary.org/obo/CL_0020045	part of	http://purl.obolibrary.org/obo/BFO_0000050	enteric nervous system	http://purl.obolibrary.org/obo/UBERON_0002005	enteric neuron	0
Dogiel type II neuron of myenteric plexus	http://purl.obolibrary.org/obo/CL_0020054	has soma location	http://purl.obolibrary.org/obo/RO_0002100	myenteric nerve plexus	http://purl.obolibrary.org/obo/UBERON_0002439	intrinsic primary afferent neuron of myenteric plexus	0
G1 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003002	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G10 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003013	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G11 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003014	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G11-OFF retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003016	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G11-ON retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003015	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G2 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003003	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G4 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003005	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G4-OFF retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003007	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G4-ON retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003006	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G5 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003008	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G6 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003009	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G8 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003011	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
G9 retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0003012	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
GABAergic interneuron of the anterior substantia nigra pars reticulata	http://purl.obolibrary.org/obo/CL_4042026	has soma location	http://purl.obolibrary.org/obo/RO_0002100	substantia nigra	http://purl.obolibrary.org/obo/UBERON_0002038	neuron of the substantia nigra	0
GABAergic interneuron of the posterior substantia nigra pars reticulata	http://purl.obolibrary.org/obo/CL_4042027	has soma location	http://purl.obolibrary.org/obo/RO_0002100	substantia nigra	http://purl.obolibrary.org/obo/UBERON_0002038	neuron of the substantia nigra	0
GPe MEIS2-SOX6 GABA arkypallidal neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310093	has soma location	http://purl.obolibrary.org/obo/RO_0002100	lateral globus pallidus	http://purl.obolibrary.org/obo/UBERON_0002476	arkypallidal neuron	0
GPe SOX6-CTXND1 GABA prototypic neuron (Primate)	http://purl.obolibrary.org/obo/CL_4310094	has soma location	http://purl.obolibrary.org/obo/RO_0002100	lateral globus pallidus	http://purl.obolibrary.org/obo/UBERON_0002476	prototypic neuron	0
