# The clo_twin rows were arbitrated against Cellosaurus (cellosaurus.obo release 56.0,
# 25-June-2026) on 2026-08-29: a row survives only where both CLO labels are verbatim
# synonyms of ONE Cellosaurus accession. Six pairs whose spellings name more than one
# line were dropped -- 'H9' is also the WA09 stem line, 'U-373 MG' is both the ATCC and
# the Uppsala line. Label resemblance alone is not evidence and no longer produces a row;
# see scripts/build_term_crossmatch.py.
# Terms Gemma resolves to a different URI on read, until the database migration runs.
#
# 🛑 THIS FILE IS THE SINGLE SOURCE. scripts/sql/term_uri_migration.sql is GENERATED from it by
# scripts/gen_term_uri_migration.py, and CharacteristicUtils#canonicalUri reads it at runtime.
# Edit here and regenerate; never edit the SQL by hand.
#
# WHY A READ-TIME SHIM RATHER THAN THE MIGRATION: the agent pipeline is calibrated against a
# MAY snapshot of Gemma, and migrating prod now would put the corpus out of sync with it
# (Paul, 2026-08-18). The Gemma 2.0 write path is separately held until PR #1667 merges and
# 1.0 redeploys. So Gemma returns the right term today and the rows move later.
#
# WHEN THE MIGRATION RUNS, DELETE THE ROWS THAT HAVE ANNOTATIONS. A shim left in place after
# the data is fixed is a second, silent rewrite of correct rows. The n_annotations=0 rows are
# NOT migration rows and stay -- see below.
#
# 🛑 GROUPS ARE ANCHORED ON THE ONTOLOGY, NOT ON THE CORPUS, AND 49 ROWS MIGRATE NOTHING.
# A corpus-anchored pass can only see a twin the corpus USES. cab's Tier-0 synonym table MINTS
# CLO_0001199 (22RV1, zero uses) out of file order and asks us about it, so the twin we most
# need to answer for is exactly the one no census can show. Those rows exist for the resolver,
# not for the UPDATE: the generator drops n_annotations=0 from the SQL, where they would be
# no-ops, and serves them from GET /annotations/canonicalUris, where they are the whole point.
#
# 🛑 AN ABSENT URI MEANS NO MAPPING IS KNOWN. It never means the URI is correct. CLO has 262
# label-collision groups and this ladder decides 63 of them; the rest have no evidence that
# separates the twins, and silence about them is not a pass.
#
# Regenerate:
#   scripts/build_term_crossmatch.py --census <census>.tsv \
#       --clo-owl clo.owl --efo-obo efo.obo --out twins.tsv
#
# lane      malformed = the URI is wrong on its face (bare CURIE, a colon where OBO uses an
#                       underscore, an id concatenated with itself). Every repair was verified
#                       by resolving the repaired IRI against the live ontology.
#           clo_twin  = two live CLO classes for one cell line. R3 an EFO inbound xref, else
#                       R4 whichever carries a definition, else R5 usage -- and R5 must clear
#                       an evidence floor (winner >=2 annotations, leading by >=2) because a
#                       one-annotation margin is a single curator's spelling, not a
#                       measurement. See docs/design/TERM_URI_CANONICALIZATION.md.
lane	from_uri	from_label	to_uri	to_label	n_annotations	rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0008782	Reh cell	http://purl.obolibrary.org/obo/CLO_0008781	REH cell	1	Cellosaurus 56.0: both spellings are synonyms of CVCL_1650 (Reh); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009196	SW 620 cell	http://purl.obolibrary.org/obo/CLO_0009221	SW620 cell	1	Cellosaurus 56.0: both spellings are synonyms of CVCL_0547 (SW620); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0009450	U 937 cell	http://purl.obolibrary.org/obo/CLO_0009465	U-937 cell	1	Cellosaurus 56.0: both spellings are synonyms of CVCL_0007 (U-937); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0001199	22RV1 cell	http://purl.obolibrary.org/obo/CLO_0001200	22Rv1 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1045 (22Rv1); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0001543	A 172 cell	http://purl.obolibrary.org/obo/CLO_0001560	A172 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0131 (A-172); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0001544	A 375 cell	http://purl.obolibrary.org/obo/CLO_0001582	A-375 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0132 (A-375); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0001559	A-172 cell	http://purl.obolibrary.org/obo/CLO_0001560	A172 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0131 (A-172); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0001592	A-431 cell	http://purl.obolibrary.org/obo/CLO_0001591	A431 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0037 (A-431); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0001596	A-498 cell	http://purl.obolibrary.org/obo/CLO_0009974	A498 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1056 (A-498); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0001766	AtT-20 cell	http://purl.obolibrary.org/obo/CLO_0001765	AtT20 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_2300 (AtT-20); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0002031	BRL-3A cell	http://purl.obolibrary.org/obo/CLO_0002029	BRL 3A cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0606 (BRL-3A); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0002129	C-4I cell	http://purl.obolibrary.org/obo/CLO_0002125	C-4 I cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_2253 (C-4-I); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0002176	Caki-1 cell	http://purl.obolibrary.org/obo/CLO_0002175	CAKI-1 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0234 (Caki-1); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0002467	CHP 212 cell	http://purl.obolibrary.org/obo/CLO_0002473	CHP-212 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1125 (CHP-212); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0002722	DBTRG.05MG cell	http://purl.obolibrary.org/obo/CLO_0002723	DBTRG-05MG cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1169 (DBTRG-05MG); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0002802	DMS-79 cell	http://purl.obolibrary.org/obo/CLO_0002800	DMS 79 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1178 (DMS 79); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0002882	ECV-304 cell	http://purl.obolibrary.org/obo/CLO_0002881	ECV304 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_2029 (ECV-304); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0003696	HeLa S3 cell	http://purl.obolibrary.org/obo/CLO_0003695	HeLa S 3 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0058 (HeLa S3); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0003699	HELA-S3 cell	http://purl.obolibrary.org/obo/CLO_0003695	HeLa S 3 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0058 (HeLa S3); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0004268	HT 1376 cell	http://purl.obolibrary.org/obo/CLO_0004279	HT-1376 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1292 (HT-1376); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0006705	IM-9 cell	http://purl.obolibrary.org/obo/CLO_0006703	IM 9 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1305 (IM-9); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0007068	KASUMI-1 cell	http://purl.obolibrary.org/obo/CLO_0007069	Kasumi-1 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0589 (Kasumi-1); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0007144	L 929 cell	http://purl.obolibrary.org/obo/CLO_0007219	L929 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0462 (NCTC clone 929); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0007220	L-929 cell	http://purl.obolibrary.org/obo/CLO_0007219	L929 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0462 (NCTC clone 929); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0007393	LS 174T cell	http://purl.obolibrary.org/obo/CLO_0007403	LS174T cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1384 (LS174T); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0007394	LS 180 cell	http://purl.obolibrary.org/obo/CLO_0007404	LS180 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0397 (LS180); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0007687	MEWO cell	http://purl.obolibrary.org/obo/CLO_0007688	MeWo cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0445 (MeWo); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0008282	P 3 HR 1 cell	http://purl.obolibrary.org/obo/CLO_0008331	P3HR-1 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_2676 (P3HR-1); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0008340	P-815 cell	http://purl.obolibrary.org/obo/CLO_0008341	P815 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_2154 (P815); R4 carries a definition; its twin does not
clo_twin	http://purl.obolibrary.org/obo/CLO_0008693	R D cell	http://purl.obolibrary.org/obo/CLO_0008770	RD cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1649 (RD); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0008869	RPMI 2650 cell	http://purl.obolibrary.org/obo/CLO_0008876	RPMI-2650 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1664 (RPMI-2650); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0008874	RPMI 8402 cell	http://purl.obolibrary.org/obo/CLO_0009857	RPMI-8402 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1667 (RPMI-8402); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009032	SK LU 1 cell	http://purl.obolibrary.org/obo/CLO_0009039	SK-LU-1 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0629 (SK-LU-1); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009186	SW 1353 cell	http://purl.obolibrary.org/obo/CLO_0009210	SW1353 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0543 (SW1353); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0009193	SW 403 cell	http://purl.obolibrary.org/obo/CLO_0009215	SW403 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0545 (SW403); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009194	SW 48 cell	http://purl.obolibrary.org/obo/CLO_0009216	SW48 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1724 (SW48); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0009200	SW 837 cell	http://purl.obolibrary.org/obo/CLO_0009224	SW837 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1729 (SW837); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009209	SW-13 cell	http://purl.obolibrary.org/obo/CLO_0009185	SW 13 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0542 (SW13); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009214	SW-403 cell	http://purl.obolibrary.org/obo/CLO_0009215	SW403 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0545 (SW403); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009217	SW-480 cell	http://purl.obolibrary.org/obo/CLO_0009218	SW480 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0546 (SW480); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0009235	T 24 cell	http://purl.obolibrary.org/obo/CLO_0009245	T24 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0554 (T24); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0009236	T 98 G cell	http://purl.obolibrary.org/obo/CLO_0009258	T98G cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0556 (T98G); R3 EFO xrefs it (an external ontology's editorial pick)
clo_twin	http://purl.obolibrary.org/obo/CLO_0009594	WI-38 cell	http://purl.obolibrary.org/obo/CLO_0009591	WI 38 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_0579 (WI-38); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009615	WM-266-4 cell	http://purl.obolibrary.org/obo/CLO_0009612	WM 266-4 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_2765 (WM266-4); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009968	LS-411N cell	http://purl.obolibrary.org/obo/CLO_0007406	LS411N cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1385 (LS411N); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0009969	LS-513 cell	http://purl.obolibrary.org/obo/CLO_0007407	LS513 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1386 (LS513); R5 usage, among members equal on every stronger rule
clo_twin	http://purl.obolibrary.org/obo/CLO_0037050	DOHH-2 cell	http://purl.obolibrary.org/obo/CLO_0002805	DOHH2 cell	0	Cellosaurus 56.0: both spellings are synonyms of CVCL_1179 (DoHH2); R3 EFO xrefs it (an external ontology's editorial pick)
